mention,count,examples
In HANDYMAN-RATE-TABLE-DRAFT.md,1,exports/homestretch-proposals-3507395346.md:1190
In projects/homestretch-proposals/docs/guides/HOMEstretch-Paint-Quoting-V1.md,1,exports/homestretch-proposals-3507395346.md:3696
in projects/NETWORK-ROUTING.md,1,exports/homestretch-proposals-3507395346.md:5634
In projects/the-pit/INDEX.md,1,exports/the-pit-3893871630.md:122
in proposal-pack.md,1,exports/homestretch-proposals-3507395346.md:5194
inbox/README.md,1,exports/mac-8414198711.md:900
includes PROPOSAL-PACK.md,1,exports/homestretch-proposals-3507395346.md:3227
INDEX.md,1,exports/the-pit-3893871630.md:86
It includes the Job Sheet.xlsx,1,exports/homestretch-sheets-5248330880.md:131
it typically dumps files as f123456.jpg,1,exports/mac-8414198711.md:2762
jobs/10421 Privet Dr St John JSON Pkg/PRICING-JOURNAL.md,1,exports/homestretch-proposals-3507395346.md:5350
jobs/10421.../PROPOSAL-PACK.md,1,exports/homestretch-proposals-3507395346.md:5694
JOURNAL.md,1,exports/mac-8414198711.md:1897
Keep projects/NETWORK-ROUTING.md,1,exports/mac-8414198711.md:1341
Keep the .md,1,exports/homestretch-proposals-3507395346.md:3394
Keep TOOLS.md,1,exports/mac-8414198711.md:1342
keep TOOLS.md as the single source for chat IDs and make NETWORK-ROUTING.md,1,exports/the-pit-3893871630.md:481
knowledge is accumulating inside MEMORY.md,1,exports/mac-8414198711.md:819
Library/CloudStorage/GoogleDrive-.../.Trash/RENAMED-MANIFEST.json,1,exports/mac-8414198711.md:2980
like an atlas/README.md,1,exports/mac-8414198711.md:845
like projects/homestretch-proposals/PROCESS.md,1,exports/the-pit-3893871630.md:340
link to PROPOSAL-PACK.md,1,exports/mac-8414198711.md:1084
ll add a short section to projects/homestretch-proposals/ROADMAP.md or a new projects/homestretch-proposals/PROCESS.md,1,exports/homestretch-proposals-3507395346.md:3083
ll be on to the next one. We just processed the .zip,1,exports/homestretch-proposals-3507395346.md:881
ll create a simple atlas/_INDEX.md,1,exports/mac-8414198711.md:1033
ll draft projects/GUARDRAILS.md,1,exports/the-pit-3893871630.md:301
ll refine GUARDRAILS.md,1,exports/the-pit-3893871630.md:206
ll revisit later. I added that as a backlog item in projects/the-pit/INDEX.md,1,exports/the-pit-3893871630.md:499
ll tell you the exact filter/sort combo to surface .md,1,exports/mac-8414198711.md:3263
LOG.md,1,exports/mac-8414198711.md:1855
Lots of .jpg,1,exports/mac-8414198711.md:2640
m looking over the PROCESS.md,1,exports/homestretch-proposals-3507395346.md:3249
m not seeing any new FastField .zip,1,exports/homestretch-proposals-3507395346.md:320
Macs-Meals-and-More-Week-of-...md,1,exports/mac-8414198711.md:1925
Macs-Meals-Week-of-...md,1,exports/mac-8414198711.md:1925
maybe some .csv,1,exports/mac-8414198711.md:2631
maybe some .md,1,exports/mac-8414198711.md:2631
memory/2026-02-04.md,1,exports/homestretch-sheets-5248330880.md:183
memory/YYYY-MM-DD.md,1,exports/mac-8414198711.md:806
MERGE-MAP.md,1,exports/homestretch-proposals-3507395346.md:3052
missing .json,1,exports/mac-8414198711.md:2631
move it in projects/the-pit/INDEX.md,1,exports/the-pit-3893871630.md:586
move job status in jobs.md,1,exports/homestretch-proposals-3507395346.md:3260
moved 10421 to WAITING ON RESPONSE in projects/homestretch-proposals/jobs.md,1,exports/homestretch-proposals-3507395346.md:5695
NETWORK-ROUTING.md,1,exports/mac-8414198711.md:1345
next checkpoint I can also add a short dated entry to projects/sheets/STATUS.md,1,exports/homestretch-sheets-5248330880.md:214
No .md,1,exports/mac-8414198711.md:3233
no confirmation yet. And i also overwrote the old job sheet .xls,1,exports/homestretch-proposals-3507395346.md:5673
no PROPOSAL-PACK.md,1,exports/homestretch-proposals-3507395346.md:5316
now check the google filestream inbox for a json.zip,1,exports/homestretch-proposals-3507395346.md:5712
Once I have the .md,1,exports/homestretch-proposals-3507395346.md:3427
open .xlsx,1,exports/mac-8414198711.md:633
Open any .md,1,exports/mac-8414198711.md:919
open projects/homestretch-proposals/JOBS.md,1,exports/mac-8414198711.md:1112
or .json,1,exports/homestretch-proposals-3507395346.md:3052
or BACKLOG.md,1,exports/mac-8414198711.md:1853
or projects/NETWORK-ROUTING.md,1,exports/the-pit-3893871630.md:365
other .md,1,exports/mac-8414198711.md:3149
overwritten 10421 Privet Dr St John Job Sheet.xlsx,1,exports/homestretch-proposals-3507395346.md:5683
PandaDoc PDF scope pulled into a new PROPOSAL-PACK.md,1,exports/homestretch-proposals-3507395346.md:4748
pdf .xlsx .json .jpg,1,exports/mac-8414198711.md:2756
pdf then .xlsx,1,exports/mac-8414198711.md:3098
Please create a Job Sheet User Manual.md,1,exports/homestretch-sheets-5248330880.md:148
pointed her to PANDADOC-QUOTE-UPDATES.txt,1,exports/homestretch-proposals-3507395346.md:5636
pricing-journal-rules.md,1,exports/homestretch-sheets-5248330880.md:54
pricing-matrix/handyman_unit_times.csv,1,exports/homestretch-proposals-3507395346.md:5188
pricing-matrix/room_rate_tiers.csv,1,exports/homestretch-proposals-3507395346.md:3384
pricing-matrix/ROOM-RATE-TIERS.md,1,exports/homestretch-proposals-3507395346.md:3383
process.md,1,exports/homestretch-sheets-5248330880.md:52
products-library.md,1,exports/mac-8414198711.md:1926
projects/ and memory/ as-is,1,exports/mac-8414198711.md:840
projects/ for the job folder by address,1,exports/homestretch-proposals-3507395346.md:273
projects/ from a snapshot before the wipe. That,1,exports/mac-8414198711.md:2565
projects/ I currently only see,1,exports/mac-8414198711.md:2546
projects/ if we treat it as the canonical place and keep it small.,1,exports/mac-8414198711.md:1337
projects/ is fine,1,exports/mac-8414198711.md:1346
projects/...,1,exports/mac-8414198711.md:2868
projects/family/schoolhouse-preschool-comparison-2026-2027.md,1,exports/mac-8414198711.md:2381
projects/family/schoolhouse-preschool-comparison-2026-2027.md.,1,exports/mac-8414198711.md:2381
projects/groceries/ you,1,exports/mac-8414198711.md:1921
projects/groceries/_INBOX/ to match the pattern more closely.,1,exports/mac-8414198711.md:1981
projects/groceries/Macs-Meals-Week-of-2026-02-02.md,1,exports/mac-8414198711.md:933
projects/groceries/notes/,1,exports/mac-8414198711.md:813
projects/GUARDRAILS.md as the global source-of-truth,1,exports/the-pit-3893871630.md:311
projects/GUARDRAILS.md is the umbrella policy,1,exports/the-pit-3893871630.md:339
projects/GUARDRAILS.md is top-down policy,1,exports/the-pit-3893871630.md:613
projects/GUARDRAILS.md to both,1,exports/the-pit-3893871630.md:570
projects/GUARDRAILS.md. Any exceptions are listed below.,1,exports/the-pit-3893871630.md:318
projects/homestretch-proposals right now there are zero,1,exports/mac-8414198711.md:2646
projects/homestretch-proposals/ we already have a really usable,1,exports/mac-8414198711.md:1877
projects/homestretch-proposals/...,1,exports/mac-8414198711.md:2983
projects/homestretch-proposals/.../PRICING-JOURNAL.md,1,exports/homestretch-sheets-5248330880.md:35
projects/homestretch-proposals/docs/guides/HOMEstretch-Paint-Quoting-V1.md,1,exports/homestretch-proposals-3507395346.md:3696
projects/homestretch-proposals/JOBS.md and pin it if you want it always handy in the sidebar.,1,exports/mac-8414198711.md:1112
projects/homestretch-proposals/jobs.md and we,1,exports/homestretch-proposals-3507395346.md:4679
projects/homestretch-proposals/jobs.md so each job link points directly to PROPOSAL-PACK.md instead of the folder path,1,exports/homestretch-proposals-3507395346.md:5057
projects/homestretch-proposals/jobs.md statuses,1,exports/homestretch-proposals-3507395346.md:4953
projects/homestretch-proposals/jobs.md to include the new 188 Goodview job under IN PROGRESS,1,exports/homestretch-proposals-3507395346.md:3265
projects/homestretch-proposals/jobs.md with a Backfill Queue,1,exports/homestretch-proposals-3507395346.md:4709
projects/homestretch-proposals/jobs.md with concrete next steps,1,exports/homestretch-proposals-3507395346.md:4318
projects/homestretch-proposals/JOBS.md with simple buckets,1,exports/mac-8414198711.md:1111
projects/homestretch-proposals/jobs.md.,1,exports/homestretch-proposals-3507395346.md:5695
projects/homestretch-proposals/jobs/...,1,exports/mac-8414198711.md:2791
projects/homestretch-proposals/jobs/10421 Privet Dr,1,exports/homestretch-proposals-3507395346.md:5355
projects/homestretch-proposals/jobs/10421 Privet Dr St John JSON Pkg/PROPOSAL-PACK.md failed,1,exports/homestretch-proposals-3507395346.md:5698
projects/homestretch-proposals/jobs/10421 Privet Dr St John JSON Pkg/PROPOSAL-PACK.md.,1,exports/homestretch-proposals-3507395346.md:5372
projects/homestretch-proposals/jobs/10421 Privet Dr St John JSON Pkg/PROPOSAL-PACK.md. The old text must match exactly including all whitespace and newlines.,1,exports/homestretch-proposals-3507395346.md:5698
projects/homestretch-proposals/jobs/184 S 200 W Valparaiso JSON Pkg,1,exports/homestretch-proposals-3507395346.md:280
projects/homestretch-proposals/jobs/184 S 200 W Valparaiso JSON Pkg/ exists,1,exports/homestretch-proposals-3507395346.md:231
projects/homestretch-proposals/jobs/188 Goodview Dr,1,exports/homestretch-proposals-3507395346.md:5255
projects/homestretch-proposals/jobs/188 Goodview Dr Valpo JSON Pkg/PROPOSAL-PACK.md. The old text must match exactly including all whitespace and newlines.,1,exports/homestretch-proposals-3507395346.md:3322
projects/homestretch-proposals/jobs/9046 Kleinman Rd Highland/,1,exports/homestretch-proposals-3507395346.md:4744
projects/homestretch-proposals/jobs/9046 Kleinman Rd Highland/PROPOSAL-PACK.md,1,exports/homestretch-proposals-3507395346.md:4894
projects/homestretch-proposals/jobs/9046 Kleinman Rd Highland/PROPOSAL-PACK.md failed,1,exports/homestretch-proposals-3507395346.md:4894
projects/homestretch-proposals/jobs/9046 Kleinman Rd Highland/PROPOSAL-PACK.md. The old text must match exactly including all whitespace and newlines.,1,exports/homestretch-proposals-3507395346.md:4894
projects/homestretch-proposals/notes/ that reads like a checklist/template for future jobs,1,exports/homestretch-proposals-3507395346.md:5840
projects/homestretch-proposals/notes/ that reads like a checklist/template for future jobs.,1,exports/homestretch-proposals-3507395346.md:2585
projects/homestretch-proposals/notes/QUOTE-LANGUAGE-AND-BLURBS.md,1,exports/homestretch-proposals-3507395346.md:1382
projects/homestretch-proposals/PRICING-JOURNAL-RULES.md.,1,exports/the-pit-3893871630.md:335
projects/homestretch-proposals/PROCESS.md so,1,exports/homestretch-proposals-3507395346.md:3371
projects/homestretch-proposals/PROCESS.md so we don,1,exports/homestretch-proposals-3507395346.md:5370
projects/homestretch-proposals/PROCESS.md to add,1,exports/homestretch-proposals-3507395346.md:3256
projects/homestretch-proposals/PROCESS.md under,1,exports/homestretch-proposals-3507395346.md:5289
projects/homestretch-proposals/PROCESS.md under a,1,exports/homestretch-proposals-3507395346.md:4261
projects/homestretch-proposals/PROCESS.md with the bulletproof pyramid math,1,exports/mac-8414198711.md:1404
projects/homestretch-proposals/PROCESS.md with this SOP.,1,exports/homestretch-proposals-3507395346.md:5101
projects/homestretch-proposals/proposals/ yet,1,exports/homestretch-proposals-3507395346.md:235
projects/homestretch-proposals/ROADMAP.md and added,1,exports/homestretch-proposals-3507395346.md:1392
projects/homestretch-proposals/ROADMAP.md or a new projects/homestretch-proposals/PROCESS.md describing,1,exports/homestretch-proposals-3507395346.md:3083
projects/homestretch-proposals/site-export/.../walkthru/assets/,1,exports/mac-8414198711.md:2641
projects/homestretch-proposals/site-export/HS-2026-02-03-K7Q2/,1,exports/homestretch-proposals-3507395346.md:1741
projects/homestretch-proposals/site-export/HS-2026-02-06-8BF3/walkthru/,1,exports/homestretch-proposals-3507395346.md:5751
projects/homestretch-proposals/site-export/HS-2026-02-06-8BF3/walkthru/assets/,1,exports/mac-8414198711.md:2727
projects/homestretch-proposals/site/ export folder,1,exports/homestretch-proposals-3507395346.md:1588
projects/homestretch-proposals/SNIPPETS.md,1,exports/the-pit-3893871630.md:160
projects/MEMORY-SYSTEM-RULES.md,1,exports/mac-8414198711.md:3144
projects/MEMORY-SYSTEM-RULES.md to formally define the standard project doc schema and the explicit,1,exports/mac-8414198711.md:1962
projects/migration/ with,1,exports/mac-8414198711.md:1994
projects/NETWORK-ROUTING.md as the source-of-truth for,1,exports/mac-8414198711.md:1341
projects/NETWORK-ROUTING.md if routing/authority is involved.,1,exports/the-pit-3893871630.md:629
projects/NETWORK-ROUTING.md maps Telegram,1,exports/the-pit-3893871630.md:614
projects/NETWORK-ROUTING.md now has the confirmed values,1,exports/mac-8414198711.md:1315
projects/NETWORK-ROUTING.md now has the full mapping,1,exports/the-pit-3893871630.md:503
projects/README.md Active list.,1,exports/mac-8414198711.md:2002
projects/README.md and TOOLS.md.,1,exports/mac-8414198711.md:1345
projects/README.md to include Sheets System in Active.,1,exports/mac-8414198711.md:1963
projects/sheets/ per the new schema,1,exports/homestretch-sheets-5248330880.md:190
projects/sheets/ to match proposals,1,exports/mac-8414198711.md:1911
projects/sheets/_INBOX/ and projects/sheets/artifacts/,1,exports/mac-8414198711.md:1960
projects/sheets/artifacts/9046-kleinman/,1,exports/homestretch-sheets-5248330880.md:195
projects/sheets/JOB-SHEET-USER-MANUAL.md to point at projects/sheets/artifacts/9046-kleinman/ as the canonical sample location.,1,exports/homestretch-sheets-5248330880.md:208
projects/sheets/STATUS.md now reflects next steps based on your feedback.,1,exports/homestretch-sheets-5248330880.md:262
projects/TEMPLATES/PROJECT-SKELETON/ README/PROCESS to mention STATUS/ROADMAP explicitly,1,exports/mac-8414198711.md:1965
projects/the-pit/ with an Active Stack,1,exports/the-pit-3893871630.md:144
projects/the-pit/ with the template files and start the first quest folder for the Ashley proposal defaults item we just brought over.,1,exports/the-pit-3893871630.md:136
projects/the-pit/GUARDRAILS.md into a pointer,1,exports/the-pit-3893871630.md:312
projects/the-pit/GUARDRAILS.md now just points to the global guardrails,1,exports/the-pit-3893871630.md:470
projects/the-pit/GUARDRAILS.md.,1,exports/the-pit-3893871630.md:254
projects/the-pit/INDEX.md from Active,1,exports/the-pit-3893871630.md:586
projects/the-pit/INDEX.md now has empty slots.,1,exports/the-pit-3893871630.md:639
projects/the-pit/INDEX.md under,1,exports/the-pit-3893871630.md:644
projects/the-pit/INDEX.md.,1,exports/the-pit-3893871630.md:499
projects/the-pit/QUESTS/ashley-proposal-defaults/,1,exports/the-pit-3893871630.md:149
projects/the-pit/QUESTS/ashley-proposal-defaults/ to Trash,1,exports/the-pit-3893871630.md:638
projects/the-pit/TEMPLATES/DEPLOY-CHECKLIST.md to include a,1,exports/the-pit-3893871630.md:569
proposals kind of uses jobs.md,1,exports/mac-8414198711.md:1895
QUEST-TEMPLATE.md,1,exports/the-pit-3893871630.md:91
Re-importing .xlsx,1,exports/mac-8414198711.md:604
readme.md,1,exports/homestretch-sheets-5248330880.md:51
Regenerated RENAMED-MANIFEST.json,1,exports/homestretch-proposals-3507395346.md:5351
renamed-images/...jpg,1,exports/homestretch-proposals-3507395346.md:1576
RENAMED-MANIFEST.json and any .json,1,exports/mac-8414198711.md:2831
roadmap.md,1,exports/homestretch-sheets-5248330880.md:53
room_rate_conditions.csv,1,exports/homestretch-proposals-3507395346.md:3447
room_rate_matrix.csv,1,exports/homestretch-proposals-3507395346.md:3446
s .zip,1,exports/homestretch-proposals-3507395346.md:886
s 01-context.md,1,exports/the-pit-3893871630.md:106
s 04-deploy.md,1,exports/the-pit-3893871630.md:121
s PROPOSAL-PACK.md,1,exports/mac-8414198711.md:1091
s the handyman-rate-table-draft.md,1,exports/homestretch-proposals-3507395346.md:5106
section in PROCESS.md,1,exports/homestretch-proposals-3507395346.md:3732
section in projects/homestretch-proposals/jobs.md,1,exports/homestretch-proposals-3507395346.md:4679
sent in this channel as HANDYMAN-SCOPE-OF-WORK-7540-reordered.pdf,1,exports/homestretch-proposals-3507395346.md:2114
set projects/the-pit/QUESTS/network-guardrails/STATUS.md,1,exports/the-pit-3893871630.md:585
Start with your .xlsx,1,exports/mac-8414198711.md:681
store chatIds in TOOLS.md,1,exports/mac-8414198711.md:832
templates/BACKFILL-PRICING-JOURNAL.md,1,exports/homestretch-proposals-3507395346.md:4674
templates/BACKFILL-PROPOSAL-PACK.md,1,exports/homestretch-proposals-3507395346.md:4673
the .md,1,exports/homestretch-proposals-3507395346.md:3442
the mapping already exists in pricing-matrix/SHS Paint Pricing Matrix v1.pdf,1,exports/homestretch-proposals-3507395346.md:3368
the relevant quest folder STATUS.md,1,exports/the-pit-3893871630.md:628
the RENAMED-MANIFEST.json,1,exports/mac-8414198711.md:2721
the search results for RENAMED-MANIFEST / .xlsx / .pdf,1,exports/mac-8414198711.md:2856
then you can press Spacebar on a .md,1,exports/mac-8414198711.md:937
There is already a PROPOSAL-PACK.md,1,exports/homestretch-proposals-3507395346.md:395
there should be a .zip,1,exports/homestretch-proposals-3507395346.md:4966
This is the only way to resurrect the exact deleted local .pdf/.xlsx/.json,1,exports/mac-8414198711.md:2664
Those root .md,1,exports/mac-8414198711.md:3168
timeless notes split out of MEMORY.md,1,exports/mac-8414198711.md:841
TODO.md,1,exports/mac-8414198711.md:1853
Trim Pack inside the 184 S 200 W PROPOSAL-PACK.md,1,exports/homestretch-proposals-3507395346.md:648
UI requirements in projects/homestretch-proposals/PROCESS.md,1,exports/homestretch-proposals-3507395346.md:5289
Understood. Right now those folders only have the .md,1,exports/mac-8414198711.md:2721
Updated both PROPOSAL-PACK.md,1,exports/homestretch-proposals-3507395346.md:5083
updated MEMORY.md,1,exports/the-pit-3893871630.md:613
Updated memory/2026-02-01.md,1,exports/mac-8414198711.md:698
Updated memory/2026-02-02.md,1,exports/homestretch-proposals-3507395346.md:1364
Updated memory/2026-02-05.md,1,exports/mac-8414198711.md:2380
Updated memory/2026-02-06.md,1,exports/homestretch-proposals-3507395346.md:5573
Updated PRICING-JOURNAL-RULES.md,1,exports/homestretch-proposals-3507395346.md:4520
updated PROCESS.md,1,exports/homestretch-proposals-3507395346.md:3961
updated projects/homestretch-proposals/jobs.md,1,exports/homestretch-proposals-3507395346.md:4318
Updated projects/homestretch-proposals/jobs.md,1,exports/homestretch-proposals-3507395346.md:4953
updated projects/homestretch-proposals/jobs.md so each job link points directly to PROPOSAL-PACK.md,1,exports/homestretch-proposals-3507395346.md:5057
Updated projects/homestretch-proposals/PROCESS.md,1,exports/mac-8414198711.md:1404
updated projects/MEMORY-SYSTEM-RULES.md,1,exports/mac-8414198711.md:1962
Updated projects/NETWORK-ROUTING.md,1,exports/mac-8414198711.md:1403
Updated projects/the-pit/INDEX.md,1,exports/the-pit-3893871630.md:184
Updated projects/the-pit/TEMPLATES/DEPLOY-CHECKLIST.md,1,exports/the-pit-3893871630.md:569
updating projects/homestretch-proposals/jobs.md,1,exports/homestretch-proposals-3507395346.md:3275
use notes/HANDYMAN-RATE-TABLE-DRAFT.md,1,exports/homestretch-proposals-3507395346.md:5123
use pricing-matrix/handyman_unit_times.csv,1,exports/homestretch-proposals-3507395346.md:5122
Users/lrs/clawd.,1,exports/mac-8414198711.md:1029
Users/lrs/clawd/atlas,1,exports/mac-8414198711.md:984
Users/lrs/clawd/inbox,1,exports/homestretch-proposals-3507395346.md:324
Users/lrs/clawd/inbox/,1,exports/homestretch-proposals-3507395346.md:3123
Users/lrs/clawd/notes,1,exports/mac-8414198711.md:984
Users/lrs/clawd/projects/...,1,exports/mac-8414198711.md:2868
Users/lrs/clawd/projects/homestretch-proposals/...,1,exports/mac-8414198711.md:2983
Users/lrs/Library/CloudStorage/GoogleDrive-contact.nwi@home-stretch.com/.shortcut-targets-by-id/1BueKM2i2wwGV7qwWkDR4tWQH8SIFcZOO/Jobs,1,exports/homestretch-proposals-3507395346.md:3214
Users/lrs/Library/CloudStorage/GoogleDrive-contact.nwi@home-stretch.com/.shortcut-targets-by-id/1UXV9NOByATHR6Q2Ge_jKgAJ4H6KhGrFX/_inbox,1,exports/homestretch-proposals-3507395346.md:3133
Users/lrs/Library/CloudStorage/GoogleDrive-contact.nwi@home-stretch.com/.shortcut-targets-by-id/1UXV9NOByATHR6Q2Ge_jKgAJ4H6KhGrFX/_jobs:,1,exports/homestretch-proposals-3507395346.md:3211
ve already applied your memo to the 184 S 200 W project artifact by updating the existing PROPOSAL-PACK.md,1,exports/homestretch-proposals-3507395346.md:466
ve stopped that bleed and removed the Pit-specific block I accidentally added to PROCESS.md,1,exports/homestretch-proposals-3507395346.md:4269
we have fastfield pushing a .zip,1,exports/homestretch-proposals-3507395346.md:147
we have the .md,1,exports/mac-8414198711.md:3010
we should explicitly encode this into PROCESS.md,1,exports/homestretch-proposals-3507395346.md:3728
Were those .pdf/.xlsx/.json,1,exports/mac-8414198711.md:2668
When FastField drops the .zip,1,exports/homestretch-proposals-3507395346.md:154
with its own README.md,1,exports/the-pit-3893871630.md:120
workflow documented in HOMEstretch-Paint-Quoting-V1.md,1,exports/mac-8414198711.md:1139
working on local .xlsx,1,exports/mac-8414198711.md:595
Write/refresh PRICING-JOURNAL.md,1,exports/homestretch-proposals-3507395346.md:4916
x/HOW-TO-WORK-WITH-MAC.md,1,exports/mac-8414198711.md:901
x/README.md,1,exports/mac-8414198711.md:902
xlsx .pdf .zip .json,1,exports/mac-8414198711.md:2935
Yes. I just updated projects/homestretch-proposals/PROCESS.md,1,exports/homestretch-proposals-3507395346.md:3371
your .xlsx,1,exports/mac-8414198711.md:642
